SMILES,Density_MD (kg/m3)
CN1CNCN(C1)C1NCNCN1,1228.32
COc1ccncc1c1ccccn1,1136.41
COc1nccnc1c1ccccc1,1134.35
Cc1cc(O)nc(c1)c1ccncc1,1148.83
Cc1ccc(cn1)c1ccncc1O,1145.55
Cc1ccccc1Oc1cnccn1,1112.73
Cc1ccncc1Oc1ccccn1,1106.03
Cc1ccncc1c1cccnc1O,1135.06
Cc1cnc(c(n1)C)c1cnccn1,1135.5
Cc1ncc(cc1O)c1cccnc1,1154.71
N1CNC(NC1)CC1NCNCN1,1249.19
OC1CC(C(C1)C1CCCC1)S,1048.82
OC1CCC(C1)c1nnc(s1)O,1273.28
OC1CCCC1Oc1nsnc1,1279.8
OCc1cccnc1c1cccnc1,1153.62
Oc1cc(C)nc(c1)c1ccccn1,1136.74
Oc1ccnc(c1)c1cccnc1C,1137.89
Oc1ccnc(c1C)c1cccnc1,1149.85
Oc1cncc(c1C)c1ccncc1,1155.99
Oc1nccc(c1)Cc1ccccn1,1130.82
Oc1nccc(c1)Cc1cccnc1,1134.43
Oc1nccc(c1)c1ccncc1C,1143.91
Oc1ncccc1Cc1ccncc1,1137.76
SC1CC(CC1O)C1CCCC1,1044.89
SC1CCC(C1)C1(O)CCCC1,1046.35
SC1CCCC1(O)C1CCCC1,1053.62
c1ccc(cc1)COc1cnccn1,1116.34
n1ccc(cc1)OCc1ccncc1,1126.39
COc1cccc(n1)c1cnccn1,1175.75
Cc1cnc(c(n1)O)c1cccnc1,1190.83
Cc1cnc(cn1)c1ccncc1O,1191.42
Cc1cncc(n1)c1ncccc1O,1185.6
Cc1ncccc1c1nccnc1O,1182.39
Cc1nccnc1Oc1ccccn1,1156.47
OC1CCC(C1)C1(O)NCNCN1,1208.74
OC1CCCC1(O)N1CNCNC1,1205.68
OC1NCNCN1C1(O)CCCC1,1194.79
OCc1ncccc1c1nccnc1,1200.74
ON1CNC(NC1O)C1CCCC1,1178.27
ON1CNCN(C1)c1nsnc1,1444.31
OON1CNCN(C1)C1CCCC1,1139.45
OOc1ccc(cc1)c1ccccn1,1162.84
OOc1ccccc1c1ccccn1,1154.42
OOc1ccccc1c1ccncc1,1163.63
OOc1ccnc(c1)c1ccccc1,1160.39
Oc1ccc(c(c1)c1ccccn1)O,1200.96
Oc1ccc(c(n1)C)c1cnccn1,1197.7
Oc1ccncc1Cc1cnccn1,1188.95
Oc1cnc(c(n1)C)c1ccccn1,1185.7
Oc1cnc(cc1O)c1ccccc1,1203.84
Oc1cncc(n1)Cc1cccnc1,1176.54
Oc1ncc(c(c1)C)c1cnccn1,1195.16
Oc1nccc(c1)c1nccnc1C,1194.25
