Sl.No,Mol_Smiles,Mol_Code,Pol_DFT,Den_MD,pol_den_product/1000,RI_LL,Pol_geom,nBB,MW_pybel,RI_geom,Pol_tz
1480502,c1ccc(nc1)C1SCCSC1c1cc2ccccc2cc1c1scnn1,F8-F16-F6-F11,293.0657,1272.13,372.81766894099997,1.5994,303.6234,4,407.57478,1.6263347859200001,335.4706
1480561,c1ccc(nc1)c1cccc2c1cccc2C1(CSCCS1)c1nncs1,F6-F16-F8-F11,288.5317,1259.47,363.397020199,1.5808,298.5459,4,407.57478,1.60574497866,329.6272
1480781,c1csc(n1)C1CSCC(S1)c1ncc(nc1)c1ccc2c(c1)cccc2,F6-F12-F14-F16,314.8268,1285.84,404.816892512,1.6645,327.6046,4,407.57478,1.69935661559,361.4604
1480826,c1ncc(nc1)C1CSCC(S1)c1cc2ccccc2cc1c1nccs1,F6-F12-F16-F14,296.8823,1274.17,378.278520191,1.6103,310.0645,4,407.57478,1.64435557226,341.9098
1480881,n1cc(nc(c1)c1cccc2c1cccc2)C1CSC(CS1)c1cscn1,F6-F12-F14-F16,285.4398,1284.81,366.735909438,1.5874,298.2384,4,407.57478,1.62012873711,332.0095
1480885,n1cc(nc(c1)c1cscn1)C1CSC(CS1)c1ccc2c(c1)cccc2,F6-F12-F14-F16,299.0819,1290.12,385.85154082800005,1.6255,303.9778,4,407.57478,1.6383920024899998,337.3745
1481096,C1CSC(C(S1)C1NCN(CN1)c1ccncc1)c1cccc2c1cccc2,F6-F9-F11-F16,292.8302,1240.41,363.22950838199995,1.5787,297.5713,4,408.58276,1.59025935778,333.4836
1481489,C1CSC(CS1)C1NCNCN1c1ccncc1c1cccc2c1cccc2,F6-F9-F11-F16,288.232,1215.29,350.28546728,1.5538,300.3926,4,408.58276,1.58232835981,325.5752
1481581,C1CSC(CS1)N1CNCN(C1)c1cc(cc2c1cccc2)c1cccnc1,F9-F16-F11-F6,301.6055,1215.4,366.5713247,1.5853,310.7913,4,408.58276,1.6073303914800001,345.3405
1481589,C1CSC(CS1)N1CNCN(C1)c1ccc(c2c1cccc2)c1ccncc1,F9-F16-F11-F6,295.3806,1202.27,355.127233962,1.5631,309.2315,4,408.58276,1.59551826629,341.6248
1482134,C1CSC(CS1)c1cccc2c1cc(cc2)N1CNC(NC1)c1ccccn1,F9-F16-F11-F6,297.7716,1246.18,371.07701248800004,1.5941,305.3736,4,408.58276,1.6129507500600002,338.2335
1482323,C1CSC(CS1)c1nc(cnc1c1ccc2c(c1)cccc2)c1nsnc1,F6-F12-F13-F16,302.5359,1298.18,392.74605466199995,1.6376,324.1825,4,408.56284,1.69631479459,357.8786
1482430,C1NC(NC(N1)c1cccc2c1cccc2)C1CSCC(S1)c1ccncc1,F6-F11-F9-F16,289.3316,1220.66,353.17551085599996,1.5593,297.8238,4,408.58276,1.57935667408,329.1457
1482549,C1NCN(CN1)C1(SCCSC1)c1cccc(n1)c1cccc2c1cccc2,F6-F11-F9-F16,299.6942,1217.25,364.80276495,1.5818,306.0465,4,408.58276,1.5970102952599998,331.7363
1482798,C1NCN(CN1)C1SCCSC1(c1cccnc1)c1cccc2c1cccc2,F6-F11-F9-F16,291.844,1212.2,353.7732968,1.5605,294.7709,4,408.58276,1.5672860498899999,324.067
1482961,C1NCN(CN1)c1cc(C2CSCCS2)c2c(c1)cccc2c1ccncc1,F9-F16-F11-F6,303.8824,1233.24,374.75993097599996,1.6014,308.2718,4,408.58276,1.61219581845,336.4273
1482981,C1NCN(CN1)c1cc(cc2c1c(ccc2)c1ccncc1)C1CSCCS1,F9-F16-F11-F6,294.502,1229.0,361.94295800000003,1.5762,305.4571,4,408.58276,1.60269854775,336.6904
1483406,C1NCN(CN1)c1ccnc(c1)c1ccc2c(c1)ccc(c2)C1CSCCS1,F11-F16-F9-F6,319.3236,1256.75,401.3099343,1.6552,332.5108,4,408.58276,1.6899501017899998,367.2512
1483537,C1SCC(SC1)(C1NCN(CN1)c1ccccn1)c1ccc2c(c1)cccc2,F6-F9-F11-F16,299.6871,1206.56,361.590467376,1.5756,308.0485,4,408.58276,1.5953193720200003,340.4978
1483572,C1SCC(SC1)(c1ccccn1)C1NCNCN1c1cccc2c1cccc2,F6-F11-F9-F16,283.3226,1227.18,347.68782826800003,1.5488,296.3012,4,408.58276,1.57949959944,319.2072
1483747,C1SCC(SC1)N1CNC(NC1c1ccccn1)c1cccc2c1cccc2,F6-F9-F11-F16,279.3514,1212.24,338.640941136,1.5317,287.5719,4,408.58276,1.5505602909,318.2319
1483794,C1SCC(SC1)c1c(ccc2c1ccc(c2)c1cccnc1)C1NCNCN1,F9-F16-F11-F6,309.3434,1239.96,383.573442264,1.619,319.7358,4,408.58276,1.6451920189899998,352.3758
1483832,C1SCC(SC1)c1cc(cc2c1cc(cc2)c1ccncc1)N1CNCNC1,F9-F16-F11-F6,312.0264,1241.2,387.28716768,1.6265,324.7791,4,408.58276,1.65892857905,357.7935
1484101,N1CNC(NC1)(C1CSCC(S1)c1ccccn1)c1ccc2c(c1)cccc2,F6-F11-F9-F16,301.7319,1220.29,368.20042025099997,1.5885,305.3095,4,408.58276,1.59707162086,336.8519
1484246,N1CNC(NC1)C1(CSCC(S1)c1cccc2c1cccc2)c1ccccn1,F6-F11-F9-F16,296.9903,1228.92,364.977319476,1.5822,301.9506,4,408.58276,1.59412404305,333.3613
1484289,N1CNC(NC1)C1(CSCCS1)c1ccc2c(c1c1ccncc1)cccc2,F6-F9-F16-F11,293.6979,1192.81,350.325792099,1.5538,298.9388,4,408.58276,1.56584960384,327.6664
1484351,N1CNC(NC1)C1CSC(C(S1)c1ccc2c(c1)cccc2)c1ccncc1,F6-F11-F9-F16,292.5017,1223.41,357.84950479699995,1.5683,298.4324,4,408.58276,1.5824085952899998,330.1253
1484422,N1CNC(NC1)C1CSC(CS1)c1cnccc1c1cccc2c1cccc2,F6-F11-F9-F16,290.6468,1212.28,352.345302704,1.5577,292.797,4,408.58276,1.5627176368399998,327.1632
